Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Terminator 2: Judgment Day,4.0,4.21,-0.21,,137,2:17,"English,Spanish",James Cameron,1991,"Thriller,Action,Science Fiction",France,22432,294996,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen,Joe Morton,S. Epatha Merkerson,Castulo Guerra,Danny Cooksey,Jenette Goldstein,Xander Berkeley,Leslie Hamilton Gearren,Ken Gibbel,Robert Winley,Pete Schrum,Shane Wilder,Michael Edwards,Jared Lounsbery,Casey Chavez,Ennalls Berl,Don Lake,Richard Vidan,Tom McDonald,Jim Palmer,Gus Williams,Gwenda Deacon"
Scrooge,5.0,3.85,1.15,,86,1:26,English,Brian Desmond Hurst,1951,"Drama,Fantasy",UK,1267,6914,"Alastair Sim,Mervyn Johns,Glyn Dearman,George Cole,Brian Worth,Michael Hordern,Kathleen Harrison,Rona Anderson,Jack Warner,Michael Dolan,Francis de Wolff,Carol Marsh,Hermione Baddeley,John Charlesworth"
Blade Runner,3.0,4.09,-1.09,,118,1:58,"English,German,Cantonese,Japanese,Hungarian",Ridley Scott,1982,"Drama,Science Fiction,Thriller",USA,50814,495844,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Kevin Thompson"
The Wolf of Wall Street,2.0,4.01,-2.01,,180,3:00,"English,French",Martin Scorsese,2013,"Comedy,Drama,Crime",USA,58534,900063,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Kyle Chandler,Rob Reiner,Jon Bernthal,Jean Dujardin,Kenneth Choi,P.J. Byrne,Ethan Suplee,Brian Sacca,Henry Zebrowski,Jon Favreau,Cristin Milioti,Joanna Lumley,Jake Hoffman,Christine Ebersole,Shea Whigham,Aya Cash,Katarina Čas,Bo Dietl,Jon Spinogatti,Rizwan Manji,Stephanie Kurtzuba,J. C. MacKenzie,Ashlie Atkinson,Stephen Kunken,Ted Griffin,Sandra Nelson,Dan Bittner,Spike Jonze,Mackenzie Meehan,Thomas Middleditch,Edward Herrmann,Jordan Belfort,Fran Lebowitz,Robert Clohessy,Welker White,Danny Flaherty,Carla Corvo,Madison McKinley,Aaron Lazar,Steve Routman,Steve Witting,Charley Morgan,Michael Nathanson,Kathleen Fellegara,John Behlmann,Ward Horton,Bret Shuford,J.T. O'Connor,Steven Boyer,Danny A. Abeckaser,Matthew Rauch"
Toy Story,4.0,4.15,-0.15,06/26/2022,81,1:21,English,John Lasseter,1995,"Animation,Adventure,Comedy,Family",USA,22155,611561,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette,Jack Angel,Spencer Aste,Greg Berg,Lisa Bradley"
The Empire Strikes Back,4.0,4.4,-0.4,,124,2:04,English,Irvin Kershner,1980,"Science Fiction,Adventure,Action",USA,46982,628473,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,David Prowse,Peter Mayhew,Kenny Baker,Frank Oz,Alec Guinness,Jeremy Bulloch,Jason Wingreen,John Hollis,Jack Purvis,Des Webb,Kathryn Mullen,Marjorie Eaton,Clive Revill,Kenneth Colley,Julian Glover,Michael Sheard,Michael Culver,John Dicks,Milton Johns,Mark Jones,Oliver Maguire,Robin Scobey,Bruce Boa,Christopher Malcolm,Denis Lawson"
Legally Blonde,3.0,3.74,-0.74,,96,1:36,English,Robert Luketic,2001,"Comedy,Romance",USA,33880,241786,"Reese Witherspoon,Luke Wilson,Matthew Davis,Selma Blair,Victor Garber,Jennifer Coolidge,Ali Larter,Holland Taylor,Raquel Welch,Jessica Cauffiel,Alanna Ubach,Oz Perkins,Linda Cardellini,Bruce Thomas,Meredith Scott Lynn,Samantha Lemole,Kelly Nyks,Ted Kairys,Michael B. Silver,Kimberly McCullough,Shannon O'Hurley,Greg Serano"
El Camino: A Breaking Bad Movie,3.0,3.52,-0.52,,123,2:03,English,Vince Gilligan,2019,"Drama,Action,Thriller,Crime",USA,31588,227192,"Aaron Paul,Jesse Plemons,Charles Baker,Matt Jones,Scott MacArthur,Larry Hankin,Scott Shepherd,Tom Bower,Robert Forster,Jonathan Banks,Bryan Cranston,Krysten Ritter"
Predator,3.0,3.78,-0.78,06/26/2022,107,1:47,"English,Spanish",John McTiernan,1987,"Science Fiction,Action,Adventure,Thriller",USA,17132,164564,"Arnold Schwarzenegger,Carl Weathers,Elpidia Carrillo,Jesse Ventura,Sonny Landham,Bill Duke,Richard Chaves,R. G. Armstrong,Shane Black,Kevin Peter Hall,Steve Boyum,William H. Burton Jr.,Henry Kingi,Peter Cullen,Sven-Ole Thorsen,Jack Verbois,Franco Columbu"
The Big Short,2.0,3.76,-1.76,06/26/2022,131,2:11,English,Adam McKay,2015,"Comedy,Drama",USA,30802,328226,"Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,Hamish Linklater,John Magaro,Rafe Spall,Jeremy Strong,Finn Wittrock,Marisa Tomei,Tracy Letts,Byron Mann,Adepero Oduye,Karen Gillan,Max Greenfield,Billy Magnussen,Rudy Eisenzopf,Casey Groves,Charlie Talbert,Harold Gervais,Maria Frangos,Hunter Burke,Bernard Hocke,Shauna Rappold,Brandon Stacy,Aiden Flowers,Peter Epstein,Anthony Marble,Silas Cooper,Leslie Castay,Andrew Farrier,Ingrid Steed,Vanessa Cloke,David Zalkind,Carrie Lazar,Mychael Bates,Rajeev Jacob"
Alien,4.0,4.28,-0.28,06/26/2022,117,1:57,"English,Spanish",Ridley Scott,1979,"Science Fiction,Horror",USA,45701,480482,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Harry Dean Stanton,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Boris Kempner"
Beetlejuice,3.0,3.83,-0.83,06/26/2022,92,1:32,English,Tim Burton,1988,"Comedy,Fantasy",USA,26421,282005,"Alec Baldwin,Geena Davis,Jeffrey Jones,Catherine O'Hara,Winona Ryder,Michael Keaton,Glenn Shadix,Sylvia Sidney,Patrice Martinez,Dick Cavett,Robert Goulet"
Shrek,5.0,3.98,1.02,06/26/2022,90,1:30,English,Andrew Adamson,2001,"Family,Comedy,Animation,Fantasy,Adventure",USA,31543,516493,"Mike Myers,Eddie Murphy,Cameron Diaz,John Lithgow,Vincent Cassel,Peter Dennis,Clive Pearse,Jim Cummings,Bobby Block,Chris Miller,Cody Cameron,Kathleen Freeman,Michael Galasso,Christopher Knights,Simon J. Smith,Conrad Vernon,Jacquie Barnbrook"
Rocketman,3.0,3.7,-0.7,06/26/2022,121,2:01,English,Dexter Fletcher,2019,"Drama,Music,History",UK,44122,259525,"Taron Egerton,Jamie Bell,Richard Madden,Bryce Dallas Howard,Gemma Jones,Stephen Graham,Steven Mackintosh,Tate Donovan,Charlie Rowe,Tom Bennett,Matthew Illesley,Kit Connor,Ophelia Lovibond,Rachel Muldoon,Celinde Schoenmaker,Harriet Walter,Jason Pennycooke"
Saving Private Ryan,4.0,4.17,-0.17,06/26/2022,169,2:49,"English,Czech,German,French",Steven Spielberg,1998,"War,History,Drama",USA,19880,398229,"Tom Hanks,Tom Sizemore,Edward Burns,Matt Damon,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Ted Danson,Jeremy Davies,Paul Giamatti,Dennis Farina,Joerg Stadler,Max Martini,Dylan Bruno,Daniel Cerqueira,Demetri Goritsas,Ian Porter,Gary Sefton,Julian Spencer,Steve Griffin,William Marsh,Marc Cass,Markus Napier,Neil Finnighan,Peter Miles,Paul Garcia,Seamus McQuade,Ronald Longridge,Adam Shaw,Rolf Saxon,Corey Johnson,Loclann Aiken,John Barnett,Maclean Burke,Victor Burke"
The Lighthouse,4.0,4.05,-0.05,06/26/2022,109,1:49,English,Robert Eggers,2019,"Thriller,Fantasy,Drama,Horror",Canada,115517,555480,"Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes,Kyla Nicolle,Shaun Clarke,Pierre Richard,Preston Hudson,Jeff Cruts"
The Godfather,4.0,4.54,-0.54,06/26/2022,175,2:55,"English,Italian,Latin",Francis Ford Coppola,1972,"Crime,Drama",USA,60679,622404,"Marlon Brando,Al Pacino,James Caan,Robert Duvall,Richard S. Castellano,Diane Keaton,Talia Shire,Gianni Russo,Sterling Hayden,Al Lettieri,Abe Vigoda,John Cazale,Richard Conte,John Marley,Rudy Bond,Al Martino,Morgana King,Lenny Montana,John Martino,Alex Rocco,Salvatore Corsitto,Tony Giorgio,Victor Rendina"
The Dark Knight,2.0,4.44,-2.44,06/26/2022,152,2:32,"English,Chinese",Christopher Nolan,2008,"Action,Thriller,Drama,Crime",UK,74181,1074477,"Christian Bale,Heath Ledger,Michael Caine,Gary Oldman,Aaron Eckhart,Maggie Gyllenhaal,Morgan Freeman,Nestor Carbonell,Monique Gabriela Curnen,Ron Dean,Chin Han,Eric Roberts,Ritchie Coster,Anthony Michael Hall,Keith Szarabajka,Joshua Harto,Melinda McGraw,Nathan Gamble,Michael Jai White,Colin McFarlane,Nydia Rodriguez Terracina,Tom 'Tiny' Lister Jr.,William Fichtner,Cillian Murphy,Patrick Leahy,Matt Skiba,David Dastmalchian,Michael Vieau,Michael Stoyanov,William Smillie,Danny Goldring,Matthew O'Neill,Olumiji Olawumi,Greg Beam,Erik Hellman,Beatrice Rosen,Vincenzo Nicoli,Edison Chen,Andy Luther,James Farruggio,Tom McElroy,Will Zahrn,James Fierro,Sam Derence,Jennifer Knox,Patrick Clear,Sarah Jayne Dunn,Charles Venn,Winston Ellis,Sophia Hinshelwood,Keith Kupferer,Joseph Luis Caballero,Richard Dillane,Daryl Satcher"
Midsommar,4.0,3.84,0.16,06/26/2022,147,2:27,"English,Swedish",Ari Aster,2019,"Drama,Horror,Mystery",Sweden,159814,937961,"Florence Pugh,Jack Reynor,William Jackson Harper,Will Poulter,Vilhelm Blomgren,Isabelle Grill,Gunnel Fred,Ellora Torchia,Archie Madekwe,Henrik Norlén,Agnes Westerlund Rase,Julia Ragnarsson,Mats Blomgren,Lars Väringer,Anna Åström"
Thor: The Dark World,1.0,2.45,-1.45,06/26/2022,112,1:52,English,Alan Taylor,2013,"Fantasy,Action,Adventure",USA,29726,422416,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Christopher Eccleston,Jaimie Alexander,Zachary Levi,Ray Stevenson,Tadanobu Asano,Idris Elba,Rene Russo,Adewale Akinnuoye-Agbaje,Kat Dennings,Stellan Skarsgård,Alice Krige,Clive Russell,Jonathan Howard,Ramone Morgan"
