Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
"Aguirre, the Wrath of God",4.06,95,1:35,"German,Spanish,Quechua",Werner Herzog,1972,"Adventure,Drama,History",Germany,7748,50691,"Klaus Kinski,Helena Rojo,Del Negro,Ruy Guerra,Peter Berling,Cecilia Rivera,Daniel Ades,Edward Roland,Alexandra Cheves,Armando Polanah,Daniel Farfán"
Andrei Rublev,4.35,205,3:25,"Russian,Tatar,Italian",Andrei Tarkovsky,1966,"History,Drama",USSR,5837,36573,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolai Sergeyev,Irma Raush,Nikolay Burlyaev,Yuriy Nazarov,Yuriy Nikulin,Rolan Bykov,Nikolay Grabbe,Mikhail Kononov,Stepan Krylov,Bolot Beyshenaliev,B. Matysik,Anatoliy Obukhov,Volodya Titov,Nikolay Glazkov,K. Aleksandrov"
To Catch a Thief,3.62,107,1:47,"English,French",Alfred Hitchcock,1955,"Crime,Thriller,Romance,Drama,Mystery",USA,7235,47328,"Cary Grant,Grace Kelly,Jessie Royce Landis,John Williams,Charles Vanel,Brigitte Auber,Jean Martinelli,Georgette Anys,René Blancard,William 'Wee Willie' Davis,Bess Flowers,Alfred Hitchcock,Charles Sherlock"
The Spectacular Now,3.27,95,1:35,English,James Ponsoldt,2013,"Comedy,Drama,Romance",USA,9580,103287,"Miles Teller,Shailene Woodley,Masam Holden,Kaitlyn Dever,Brie Larson,Kyle Chandler,Jennifer Jason Leigh,Mary Elizabeth Winstead,Karen Strassman,Andre Royo,Bob Odenkirk,Nicci Faires"
The Battle of Algiers,4.27,121,2:01,"Italian,Arabic,English,French",Gillo Pontecorvo,1966,"Drama,War,History",Italy,5371,35331,"Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Gene Wesson"
The Bad Sleep Well,4.03,150,2:30,Japanese,Akira Kurosawa,1960,"Crime,Drama,Thriller",Japan,1873,10893,"Toshiro Mifune,Masayuki Mori,Kamatari Fujiwara,Takeshi Katō,Kyōko Kagawa,Tatsuya Mihashi,Takashi Shimura,Kō Nishimura,Kyū Sazanka,Someshô Matsumoto,Gen Shimizu,Atsuko Ichinomiya,Natsuko Kahara,Nobuko Tashiro,Ken Mitsuda"
A Woman Under the Influence,4.31,155,2:35,"English,Italian",John Cassavetes,1974,Drama,USA,9244,42269,"Peter Falk,Gena Rowlands,Fred Draper,Lady Rowlands,Katherine Cassavetes,Matthew Labyorteaux,Matthew Cassel,Christina Grisanti,George Dunn,Mario Gallo,Eddie Shaw,Angelo Grisanti,Charles Horvath"
8½,4.26,139,2:19,"Italian,German,English,French",Federico Fellini,1963,"Fantasy,Drama",Italy,14277,92530,"Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Sandra Milo,Rossella Falk,Barbara Steele,Madeleine Lebeau,Caterina Boratto,Eddra Gale,Guido Alberti,Mario Conocchia,Bruno Agostini,Cesarino Miceli Picardi,Jean Rougeul,Mario Pisu,Yvonne Casadei,Ian Dallas,Mino Doro,Nadia Sanders"
City of God,4.41,130,2:10,Portuguese,Fernando Meirelles,2002,"Crime,Drama",Brazil,16434,224635,"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,Seu Jorge,Jefechander Suplino,Alice Braga,Roberta Rodrigues,Luis Otávio,Darlan Cunha"
Day for Night,4.11,116,1:56,"French,English",François Truffaut,1973,"Drama,Comedy",France,3863,22086,"Jacqueline Bisset,Jean-Pierre Léaud,Jean-Pierre Aumont,Valentina Cortese,Dani,Alexandra Stewart,François Truffaut,Jean Champion,Niké Arrighi,David Markham,Bernard Ménez,Jean-François Stévenin,Walter Bal"
Drunken Angel,3.84,98,1:38,Japanese,Akira Kurosawa,1948,Drama,Japan,2516,13089,"Takashi Shimura,Toshiro Mifune,Reizaburô Yamamoto,Michiyo Kogure,Chieko Nakakita,Noriko Sengoku,Shizuko Kasagi,Eitarō Shindō,Masao Shimizu,Taiji Tonoyama,Yoshiko Kuga,Chōko Iida,Isao Ubukata"
Shoot the Piano Player,3.72,85,1:25,French,François Truffaut,1960,"Thriller,Drama,Crime",France,2483,18332,"Charles Aznavour,Marie Dubois,Nicole Berger,Michèle Mercier,Serge Davri,Claude Mansard,Richard Kanayan,Albert Rémy,Jean-Jacques Aslanian,Daniel Boulanger,Claude Heymann,Alex Joffé,Boby Lapointe,Catherine Lutz,Laure Paillette,Alice Sapritch"
Band of Outsiders,3.86,97,1:37,"French,English",Jean-Luc Godard,1964,"Drama,Crime,Romance",France,3822,28411,"Anna Karina,Claude Brasseur,Sami Frey,Danièle Girard,Louisa Colpeyn,Chantal Darget,Georges Staquet,Ernest Menzer,Jean-Claude Rémoleux,Michel Delahaye,Louis Jojot,Claude Makovski,Michèle Seghers,Jean-Luc Godard"
Lost River,3.03,95,1:35,English,Ryan Gosling,2014,"Fantasy,Drama,Thriller",USA,3345,17767,"Christina Hendricks,Saoirse Ronan,Eva Mendes,Matt Smith,Ben Mendelsohn,Iain De Caestecker,Reda Kateb,Barbara Steele,Landyn Stewart,Rob Zabrecky,Shannon Plumb,Torrey Wigfield"
Fear and Loathing in Las Vegas,3.74,118,1:58,English,Terry Gilliam,1998,"Adventure,Drama,Comedy",USA,15451,143988,"Johnny Depp,Benicio del Toro,Tobey Maguire,Christina Ricci,Ellen Barkin,Gary Busey,Cameron Diaz,Mark Harmon,Katherine Helmond,Michael Jeter,Penn Jillette,Craig Bierko,Lyle Lovett,Laraine Newman,Harry Dean Stanton,Tim Thomerson,Flea,Christopher Meloni,Troy Evans,Debbie Reynolds,Jenette Goldstein,Verne Troyer,Gregory Itzin,Buck Holland,Richard Riehle,Mary Gillis,Hunter S. Thompson"
Wild Strawberries,4.24,91,1:31,"Swedish,Latin",Ingmar Bergman,1957,Drama,Sweden,8655,68135,"Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,Jullan Kindahl,Folke Sundquist,Björn Bjelfvenstam,Naima Wifstrand,Gunnel Broström,Gertrud Fridh,Sif Ruud,Gunnar Sjöberg,Max von Sydow"
Cries and Whispers,4.12,95,1:35,Swedish,Ingmar Bergman,1972,Drama,Sweden,5829,34785,"Harriet Andersson,Ingrid Thulin,Kari Sylwan,Liv Ullmann,Erland Josephson,Anders Ek,Henning Moritzen,Georg Årlin,Ingmar Bergman,Ingrid Sandell,Ingrid Bergman,Linn Ullmann,Inga Gill"
Birth,3.54,100,1:40,English,Jonathan Glazer,2004,"Drama,Romance,Mystery",France,3441,17299,"Nicole Kidman,Cameron Bright,Danny Huston,Lauren Bacall,Alison Elliott,Anne Heche,Peter Stormare,Ted Levine,Cara Seymour,Arliss Howard,Michael Desautels,Joe M. Chalmers,Novella Nelson,Zoe Caldwell,Charles Goff,Sheila Smith"
Sexy Beast,3.81,89,1:29,English,Jonathan Glazer,2000,"Crime,Thriller,Drama",Spain,5481,33746,"Ray Winstone,Ben Kingsley,Ian McShane,Amanda Redman,Cavan Kendall,Julianne White,Álvaro Monje,James Fox,Robert Atiko,Nieves del Amo Oruet,Enrique Alemán Fabrega,Gérard Barray"
To Be or Not to Be,4.21,99,1:39,"English,German",Ernst Lubitsch,1942,"War,Comedy",USA,4122,23588,"Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,Lionel Atwill,Stanley Ridges,Sig Ruman,Tom Dugan,Charles Halton,George Lynn,Henry Victor,Maude Eburne,Halliwell Hobbes,Miles Mander,Rudolph Anders,Paul Barrett,Sven Hugo Borg,Danny Borzage,Buster Brodie,Peter Caldwell"
The Human Condition III: A Soldier's Prayer,4.52,190,3:10,"Japanese,Chinese,Russian",Masaki Kobayashi,1961,"War,History,Drama",Japan,1593,8466,"Tatsuya Nakadai,Michiyo Aratama,Tamao Nakamura,Yūsuke Kawazu,Chishū Ryū,Taketoshi Naitô,Kyōko Kishida,Reiko Hitomi,Keijirô Morozumi,Koji Kiyomura,Nobuo Kaneko,Fujio Suga,Tatsuya Ishiguro,Kazuo Kitamura,Toshio Takahara,Akira Yamanouchi"
The Human Condition II: Road to Eternity,4.35,178,2:58,"Japanese,Chinese,Russian",Masaki Kobayashi,1959,"War,History,Drama",Japan,1421,8649,"Tatsuya Nakadai,Michiyo Aratama,Kokinji Katsura,Jun Tatara,Michirô Minami,Kei Satō,Kunie Tanaka,Ryôhei Uchida,Kan Yanagiya,Kenjiro Uemura,Kaneko Iwasaki,Mayumi Kurata,Taketoshi Naitô,Hideo Kidokoro"
