Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Lost Boys,3.71,97,1:37,English,Joel Schumacher,1987,"Thriller,Comedy,Horror",USA,21742,118542,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughes,Edward Herrmann,Kiefer Sutherland,Jami Gertz,Corey Feldman,Jamison Newlander,Brooke McCarter,Billy Wirth,Alex Winter,Chance Michael Corbitt,Alexander Bacan Chapman"
Star Trek II: The Wrath of Khan,3.92,113,1:53,English,Nicholas Meyer,1982,"Thriller,Adventure,Action,Science Fiction",USA,7634,51456,"William Shatner,Leonard Nimoy,DeForest Kelley,Ricardo Montalban,Kirstie Alley,Bibi Besch,Merritt Butrick,Walter Koenig,James Doohan,Nichelle Nichols,George Takei,Paul Winfield,Judson Scott,Ike Eisenmann,John Vargas,John Winston,Paul Kent"
Stand by Me,4.13,89,1:29,English,Rob Reiner,1986,"Drama,Crime",USA,32376,289377,"Wil Wheaton,River Phoenix,Jerry O'Connell,Corey Feldman,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder"
Drive,3.95,100,1:40,English,Nicolas Winding Refn,2011,"Thriller,Drama,Crime",USA,80298,685010,"Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Oscar Isaac,Christina Hendricks,Ron Perlman,Kaden Leos,Jeff Wolfe,James Biberi,Russ Tamblyn,Joe Bucaro III"
The Lion King,4.19,89,1:29,English,Roger Allers,1994,"Drama,Family,Animation",USA,22601,650228,"Matthew Broderick,James Earl Jones,Jeremy Irons,Rowan Atkinson,Moira Kelly,Whoopi Goldberg,Cheech Marin,Jim Cummings,Robert Guillaume,Nathan Lane,Ernie Sabella,Madge Sinclair"
It Follows,3.53,101,1:41,English,David Robert Mitchell,2014,"Horror,Mystery",USA,45140,356407,"Maika Monroe,Keir Gilchrist,Daniel Zovatto,Jake Weary,Olivia Luccardi,Lili Sepe,Bailey Spry,Carollette Phillips,Loren Bass,Charles Gertner,Debbie Williams,Ruby Harris"
The Goonies,3.78,114,1:54,"English,Italian,Spanish,Cantonese",Richard Donner,1985,"Adventure,Family,Comedy",USA,16654,216573,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,Kerri Green,Martha Plimpton,Ke Huy Quan,John Matuszak,Robert Davi,Joe Pantoliano,Anne Ramsey,Lupe Ontiveros,Mary Ellen Trainor,Keith Walker,Steve Antin"
Ant-Man,3.32,117,1:57,English,Peyton Reed,2015,"Adventure,Science Fiction,Action",USA,37790,658574,"Paul Rudd,Michael Douglas,Evangeline Lilly,Bobby Cannavale,Corey Stoll,Anthony Mackie,Judy Greer,Abby Ryder Fortson,Michael Peña,David Dastmalchian,T.I.,Wood Harris,Hayley Atwell,John Slattery,Martin Donovan,Garrett Morris,Gregg Turkington,Rod Hallett,Joe Chrest,Joe Bucaro III,Jean Louisa Kelly,Dax Griffin,Hayley Lovitt,Anna Akana,Stan Lee,Tom Kenny,Norma Alvarez,Darcie Isabella Cottrell,Teddy Williams,Carol Anne Watts"
Sicario,3.9,122,2:02,"English,Spanish",Denis Villeneuve,2015,"Crime,Thriller,Action",Mexico,33355,349083,"Emily Blunt,Benicio del Toro,Josh Brolin,Daniel Kaluuya,Victor Garber,Jon Bernthal,Jeffrey Donovan,Raoul Max Trujillo,Julio Cedillo,Hank Rogerson,Bernardo P. Saracino,Maximiliano Hernández,Edgar Arreola,Kevin Wiggins,Kim Larrichio,Jesus Nevarez-Castillo,Dylan Kenin,Sarah Minnich"
Fantastic Planet,3.98,72,1:12,French,René Laloux,1973,"Science Fiction,Animation",Czechoslovakia,20476,92987,"Gérard Hernandez,Jean Valmont,Jennifer Drake,Yves Barsacq,Jeanine Forney,Éric Baugin,Jean Topart,William Coryn,Sylvie Lenoir,Philippe Ogouz,Irina Tarassov,Yvette Robin"
Ghostbusters,3.79,107,1:47,English,Ivan Reitman,1984,"Fantasy,Comedy",USA,24628,361898,"Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis,Annie Potts,William Atherton,Ernie Hudson,David Margulies,Steven Tash,Jennifer Runyon,Slavitza Jovan,Michael Ensign,Alice Drummond,Jordan Charney,Timothy Carhart,John Rothman,Tom McDermott,Roger Grimsby,Larry King,Joe Franklin,Casey Kasem,John Ring,Norman Matlock,Joe Cirillo,Joe Schmieg,Reginald VelJohnson,Rhoda Gemignani,Murray Rubin,Larry Dilg,Danny Stone"
Candy,2.47,124,2:04,English,Christian Marquand,1968,"Comedy,Adventure,Fantasy",France,561,1949,"Ewa Aulin,Charles Aznavour,Marlon Brando,Richard Burton,James Coburn,John Huston,Walter Matthau,Ringo Starr,John Astin,Elsa Martinelli,Sugar Ray Robinson,Anita Pallenberg,Lea Padovani"
Scarface,3.77,93,1:33,"English,Italian",Howard Hawks,1932,"Drama,Action,Crime,Thriller",USA,3277,22954,"Paul Muni,Ann Dvorak,Karen Morley,Osgood Perkins,C. Henry Gordon,George Raft,Vince Barnett,Boris Karloff,Purnell Pratt,Tully Marshall,Inez Palange,Edwin Maxwell,Jean Harlow,Henry Armetta,Gus Arnheim,Eugenie Besserer,Maurice Black,James Conaty,Gino Corrado,Virginia Dabney"
Donnie Darko,3.98,114,1:54,English,Richard Kelly,2001,"Mystery,Drama,Fantasy",USA,79275,650918,"Jake Gyllenhaal,Jena Malone,James Duval,Drew Barrymore,Beth Grant,Maggie Gyllenhaal,Mary McDonnell,Holmes Osborne,Noah Wyle,Katharine Ross,Patrick Swayze,Daveigh Chase,Arthur Taxier,David St. James,Patience Cleveland,Jazzie Mahannah"
El Topo,3.71,125,2:05,Spanish,Alejandro Jodorowsky,1970,"Adventure,Action,Western,Drama",Mexico,4951,34270,"Alejandro Jodorowsky,Brontis Jodorowsky,José Legarreta,Alfonso Arau,José Luis Fernández,David Silva,Ignacio Martínez España,Mara Lorenzio,Paula Romo,Robert John,Jacqueline Luis,Héctor Martínez,Juan José Gurrola,Víctor Fosado,Agustín Isunza,Ali Junco,Gerardo Zepeda,René Barrera,René Alís,Federico Gonzáles"
Okja,3.69,122,2:02,"English,Korean,Spanish",Bong Joon-ho,2017,"Fantasy,Adventure,Drama,Science Fiction",South Korea,36113,267937,"Ahn Seo-hyun,Tilda Swinton,Paul Dano,Lily Collins,Steven Yeun,Devon Bostick,Jake Gyllenhaal,Byun Hee-bong,Yoon Je-moon,Shirley Henderson,Daniel Henshall,Giancarlo Esposito,Choi Woo-shik,Sheena Kamal,Michael Mitton,Colm Hill,Kathryn Kirkpatrick,Jose Carias,Nancy Amelia Bell,Lee Jung-eun,Kim Jae-in,Choi Hee-seo,Jang Ji-woong,Lee Bong-ryeon,Park Ki-seon,Yoon Kyung-ho,Cho Wan-ki,Kyul Hwi,Kwak Jin-seok,Park Ji-hoon,Lee Jae-Hyeok,Clayton Elliot Jones,Seoyoung Lim,Jungsook Park,Jooman Hong,Kyungwook Lim,Seungchang Lee,Byeonghee Lee,Hyunwoo Choi,Kim Moon-hak,Park Keun-rok,Daehyun Kim"
My Neighbor Totoro,4.2,86,1:26,Japanese,Hayao Miyazaki,1988,"Family,Fantasy,Animation",Japan,58144,537391,"Noriko Hidaka,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto,Tanie Kitabayashi,Masashi Hirose,Yûko Maruyama,Shigeru Chiba,Toshiyuki Amagasa"
#Horror,1.43,90,1:30,English,Tara Subkoff,2015,"Thriller,Mystery,Horror,Drama",USA,1081,4846,"Chloë Sevigny,Timothy Hutton,Natasha Lyonne,Balthazar Getty,Taryn Manning,Stella Schnabel,Sadie Seelert,Haley Murphy,Bridget McGarry,Blue Lindeberg,Mina Sundwall,Emma Adler,Annabelle Dexter-Jones,Lydia Hearst,Sadie Jensen-Blank,Tara Subkoff,Jessica Blank"
Breathless,3.89,90,1:30,"French,English",Jean-Luc Godard,1960,"Drama,Crime",France,21143,123656,"Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet,Roger Hanin,Van Doude,Claude Mansard,Liliane Dreyfus,Michel Fabre,Jean-Pierre Melville,Jean-Luc Godard,Richard Balducci"
Indiana Jones and the Temple of Doom,3.61,118,1:58,"English,Chinese,Sinhalese, Sinhala",Steven Spielberg,1984,"Action,Adventure",USA,21743,285188,"Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,Roshan Seth,Philip Stone,Roy Chiao,David Yip,Ric Young,Chua Kah Joo,Rex Ngui,Philip Tan,Dan Aykroyd,Akio Mitamura,Michael Yama,D.R. Nanayakkara,Dharmadasa Kuruppu,Stany De Silva,Ruby de Mel,Denavaka Hamine,Iranganie Serasinghe,Dharshana Panangala,Raj Singh,Frank Olegario,Ahmed El Shenawi,Arthur F. Repola,Nizwar Karanj,Pat Roach,Moti Makan,Mellan Mitchell,Bhasker Patel,Arjun Pandher"
La Dolce Vita,4.22,176,2:56,"Italian,German,English,French",Federico Fellini,1960,"Drama,Comedy",France,8019,65866,"Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,Magali Noël,Alain Cuny,Annibale Ninchi,Walter Santesso,Valeria Ciangottini,Riccardo Garrone,Ida Galli,Audrey McDonald,Polidor,Alain Dijon,Mino Doro,Giulio Girola,Laura Betti,Nico,Domino,Carlo Musto,Enzo Cerusico,Giulio Paradisi,Enzo Doria,Enrico Glori,Adriana Moneta,Massimo Busetti,Lex Barker,Jacques Sernas,Nadia Gray,Giuseppe Addobbati,Conte Brunoro Serego Aligheri,Gabriella Andreini,Federika André,Armando Annuale,Joan Antequera,Juan Antequero,Gianni Baghino,Nadia Balabine,Ignazio Balsamo,Remo Benedetti,Andrea Bianchi,Lars Bloch,Leonardo Botta,Ida Bracci Dorati,Ferdinando Brofferio,Giovanna Busetti,Tito Buzzo,Daniela Calvino,Tony Campanino,Fabrizio Capucci,Donato Castellaneta,Adriano Celentano,Elisabetta Cini,Giulio Citti,Leo Coleman,Nani Colombo,Mario Conocchia,Francesco Consalvo,Tiziano Cortini,Decimo Cristiani,Mario De Grenet,Andrea De Pino,Adele De Rossi,Donatella Della Nora,Christine Denise,Katherine Denise,Carlo Di Maggio,François Dieudonné"
"Synecdoche, New York",4.11,124,2:04,"English,German",Charlie Kaufman,2008,Drama,USA,30750,137524,"Philip Seymour Hoffman,Samantha Morton,Jennifer Jason Leigh,Michelle Williams,Catherine Keener,Emily Watson,Tom Noonan,Sadie Goldstein,Hope Davis,Dianne Wiest,Kristen Bush,Alice Drummond,Amy Wright,Deirdre O'Connell"
The King of Comedy,4.15,109,1:49,English,Martin Scorsese,1982,"Comedy,Drama",USA,26654,156545,"Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,Shelley Hack,Frederick de Cordova,Kim Chan,Ed Herlihy,Lou Brown,Margo Winkler,Ralph Monaco,Catherine Scorsese,Cathy Scorsese,Loretta Tupper,Peter Potulski,Vinnie Gonzales,Whitey Ryan,Doc Lawless,Marta Heflin,Chuck Low,Katherine Wallach,Charles Kaleina,Richard Baratz,Leslie Levinson,Alan Potashnick,Michael Kolba,Robert Colston,Ramon Rodriguez,Chuck Coop"
