Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Obvious Child,3.52,83,1:23,English,Gillian Robespierre,2014,"Comedy,Romance",USA,7305,42070,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Paul Briganti,Stephen Singer,Richard Kind,Polly Draper,Gabe Liedman,Cindy Cheung,Ernest Mingione,Cyrus McQueen,David Cross,Maciek Jasik,Jennifer Kim,Suzanne Lenz,Emily Tremaine,Stacey Sargeant,Brenda Birkeland,Kelly Frances Ramsey,Judith Reid,Robert Conant,Karla Conford,Norm Gennarelli,Pat Keegan,Angeliki Koutsos,Jackline F. Lamiscarre,Eileen Landsman,Gail Lott,Peter Mastando,Giuseppe Moreni,Doris Santera,Frances Silverglate,Lucien Wasserman,Elise Widerker,Nicholas Cirillo,Diana Clarke,Samantha Lifson,Karen Maine,Bianca Mitchell,Linda Morris,Rachel Oteo,Sabrina Petrov,Anna Powers,Shannon Richardson,Gabrielle Roberts,Christina Tirado,Mika Alexander,Calaix Alexander,Ramses Alexandre,Carl Banks,Daniel Bennett,Blair Beusman"
Django Unchained,4.2,165,2:45,"English,French,German",Quentin Tarantino,2012,"Western,Drama",USA,61717,1050873,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot,Escalante Lundy,Miriam F. Glover,Don Johnson,Franco Nero,James Russo,Tom Wopat,Don Stroud,Amber Tamblyn,Bruce Dern,M.C. Gainey,Cooper Huckabee,Doc Duhame,Jonah Hill,Lee Horsley,Zoë Bell,Michael Bowen,Robert Carradine,Jake Garber,Ted Neeley,James Parks,Tom Savini,Michael Parks,John Jarratt,Quentin Tarantino,Amari Cheatom,Keith Jefferson,Marcus Henderson,Lil Chuuch,Kinetic,Louise Stratten"
The Lost Boys,3.71,97,1:37,English,Joel Schumacher,1987,"Thriller,Comedy,Horror",USA,22457,122341,"Jason Patric,Corey Haim,Dianne Wiest,Barnard Hughes,Edward Herrmann,Kiefer Sutherland,Jami Gertz,Corey Feldman,Jamison Newlander,Brooke McCarter,Billy Wirth,Alex Winter,Chance Michael Corbitt,Alexander Bacan Chapman"
Star Trek II: The Wrath of Khan,3.92,113,1:53,English,Nicholas Meyer,1982,"Adventure,Action,Science Fiction,Thriller",USA,7899,52718,"William Shatner,Leonard Nimoy,DeForest Kelley,Ricardo Montalban,James Doohan,Walter Koenig,George Takei,Nichelle Nichols,Kirstie Alley,Paul Winfield,Bibi Besch,Merritt Butrick,Judson Scott,Ike Eisenmann,John Vargas,John Winston,Paul Kent"
Stand by Me,4.13,89,1:29,English,Rob Reiner,1986,"Drama,Crime",USA,35404,305763,"Wil Wheaton,River Phoenix,Jerry O'Connell,Corey Feldman,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder"
Drive,3.95,100,1:40,English,Nicolas Winding Refn,2011,"Thriller,Drama,Crime",USA,84341,711967,"Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Oscar Isaac,Christina Hendricks,Ron Perlman,Kaden Leos,Jeff Wolfe,James Biberi,Russ Tamblyn,Joe Bucaro III"
The Lion King,4.19,89,1:29,English,Roger Allers,1994,"Drama,Family,Animation",USA,23706,677410,"Matthew Broderick,James Earl Jones,Jeremy Irons,Rowan Atkinson,Moira Kelly,Whoopi Goldberg,Cheech Marin,Jim Cummings,Robert Guillaume,Nathan Lane,Ernie Sabella,Madge Sinclair"
It Follows,3.53,101,1:41,English,David Robert Mitchell,2014,"Horror,Mystery",USA,46467,365920,"Maika Monroe,Keir Gilchrist,Daniel Zovatto,Jake Weary,Olivia Luccardi,Lili Sepe,Bailey Spry,Carollette Phillips,Loren Bass,Charles Gertner,Debbie Williams,Ruby Harris"
The Goonies,3.78,114,1:54,"English,Italian,Spanish,Cantonese",Richard Donner,1985,"Adventure,Family,Comedy",USA,17288,224176,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,Kerri Green,Martha Plimpton,Ke Huy Quan,John Matuszak,Robert Davi,Joe Pantoliano,Anne Ramsey,Lupe Ontiveros,Mary Ellen Trainor,Keith Walker,Steve Antin"
Ant-Man,3.32,117,1:57,English,Peyton Reed,2015,"Adventure,Science Fiction,Action",USA,41453,688292,"Paul Rudd,Michael Douglas,Evangeline Lilly,Bobby Cannavale,Corey Stoll,Anthony Mackie,Judy Greer,Abby Ryder Fortson,Michael Peña,David Dastmalchian,T.I.,Wood Harris,Hayley Atwell,John Slattery,Martin Donovan,Garrett Morris,Gregg Turkington,Rod Hallett,Joe Chrest,Joe Bucaro III,Jean Louisa Kelly,Dax Griffin,Hayley Lovitt,Anna Akana,Stan Lee,Tom Kenny,Norma Alvarez,Darcie Isabella Cottrell,Teddy Williams,Carol Anne Watts"
