Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Before Sunrise,4.33,101,1:41,"English,German,French",Richard Linklater,1995,"Romance,Drama",Austria,68240,321735,"Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Haymon Maria Buttinger,Erni Mangold,Karl Bruckschwaiger,Tex Rubinowitz,Dominik Castell,Harold Waiglein,Bilge Jeschim"
The World of Apu,4.33,105,1:45," Bangla,Bengali, Bangla,English",Satyajit Ray,1959,Drama,India,2164,12690,"Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee,Dhiresh Majumdar,Sefalika Devi,Dhiren Ghosh,Shanti Bhattacherjee,Abhijit Chatterjee,Belarani Devi,Jogesh Chatterjee,Tushar Bandyopadhyay,Gupi Banerjee,Panchanan Bhattacharya,Jiten Bhons,Asha Devi,Bechu Singha"
The Lord of the Rings: The Fellowship of the Ring,4.33,179,2:59,English,Peter Jackson,2001,"Action,Fantasy,Adventure",New Zealand,58678,702432,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Billy Boyd,Dominic Monaghan,John Rhys-Davies,Orlando Bloom,Sean Bean,Ian Holm,Liv Tyler,Hugo Weaving,Christopher Lee,Cate Blanchett,Andy Serkis,Marton Csokas,Craig Parker,Lawrence Makoare,Alan Howard,Noel Appleby,Sala Baker,Megan Edwards,Michael Elsworth,Mark Ferguson,Brent McIntyre,Peter McKenzie,Sarah McLeod,Ian Mune,Cameron Rhodes,Martyn Sanderson,Harry Sinclair,David Weatherley,Victoria Beynon-Cole,Lee Hartley,Sam La Hood,Chris Streeter,Jonathan Jordan,Semi Kuresa,Clinton Ulyatt,Paul Bryson,Lance Fabian Kemp,Jono Manks,Ben Price,Phil Grieve,Billy Jackson,Katie Jackson,Peter Corrigan,Lori Dungey,Norman Forsey,William Johnson"
The Lord of the Rings: The Two Towers,4.32,179,2:59,English,Peter Jackson,2002,"Fantasy,Adventure,Action",New Zealand,40030,552643,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen,Andy Serkis,Sean Astin,Cate Blanchett,John Rhys-Davies,Bernard Hill,Christopher Lee,Billy Boyd,Dominic Monaghan,Orlando Bloom,Hugo Weaving,Miranda Otto,David Wenham,Brad Dourif,Karl Urban,John Noble,Sean Bean,Craig Parker,Bruce Allpress,John Bach,Sala Baker,Jed Brophy,Sam Comery,Calum Gittins,Phil Grieve,Bruce Hopkins,Paris Howe Strewe,Nathaniel Lees,John Leigh,Robbie Magasiva,Robyn Malcolm,Bruce Phillips,Robert Pollock,Olivia Tennet,Raymond Trickitt,Stephen Ure,Timothy Lee,Phillip Spencer-Harris,Victoria Beynon-Cole,Lee Hartley,Billy Jackson"
The Apartment,4.32,125,2:05,English,Billy Wilder,1960,"Romance,Comedy,Drama",USA,17816,103937,"Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Jack Kruschen,David Lewis,Hope Holiday,Joan Shawlee,Naomi Stevens,Johnny Seven,Joyce Jameson,Willard Waterman,David White,Edie Adams,Dorothy Abbott"
Rear Window,4.32,112,1:52,English,Alfred Hitchcock,1954,"Thriller,Mystery",USA,30566,280142,"James Stewart,Grace Kelly,Thelma Ritter,Wendell Corey,Raymond Burr,Judith Evelyn,Ross Bagdasarian,Georgine Darcy,Irene Winston,Sara Berner,Frank Cady,Jesslyn Fax,Rand Harper,Havis Davenport,Jerry Antes,Benny Bartlett"
The Thing,4.32,109,1:49,"English,Norwegian",John Carpenter,1982,"Science Fiction,Horror,Mystery",USA,54380,340310,"Kurt Russell,Keith David,Wilford Brimley,T.K. Carter,David Clennon,Richard Dysart,Charles Hallahan,Peter Maloney,Richard Masur,Donald Moffat,Joel Polis,Thomas G. Waites,Norbert Weisser,Larry J. Franco,Nate Irwin,William Zeman,Adrienne Barbeau,John Carpenter,Jed"
Eternity and a Day,4.32,133,2:13,"Greek (modern),English,Italian",Theo Angelopoulos,1998,Drama,France,2523,16882,"Bruno Ganz,Fabrizio Bentivoglio,Isabelle Renauld,Achileas Skevis,Alexandra Ladikou,Despina Bebedelli,Eleni Gerasimidou,Iris Chatziantoniou,Nikos Kouros,Alekos Oudinotis,Vasilis Kolovos,Mihalis Giannatos,Petros Fyssoun,Pemi Zouni,Lazaros Andreou,Leonidas Vardaros,Vassilia Kavouka"
Fanny and Alexander,4.31,188,3:08,"Swedish,English,German,Yiddish",Ingmar Bergman,1982,"Fantasy,Mystery,Drama",Sweden,4229,31327,"Bertil Guve,Pernilla Allwin,Allan Edwall,Ewa Fröling,Erland Josephson,Jan Malmsjö,Gunn Wållgren,Börje Ahlstedt,Harriet Andersson,Gunnar Björnstrand,Stina Ekblad,Mats Bergman,Pernilla August,Mona Malm,Jarl Kulle,Christina Schollin,Kerstin Tidelius,Inga Ålenius,Hugo Hasslo,Kristina Adolphson"
Le Trou,4.31,132,2:12,French,Jacques Becker,1960,"History,Thriller,Drama,Crime",France,2160,14894,"Michel Constantin,Jean Keraudy,Philippe Leroy,Raymond Meunier,Marc Michel,Jean-Paul Coquelin,André Bervil,Eddy Rasimi,Philippe Dumat,Albert Augier,Jean Becker,Raymond Bour,Lucien Camiret"
