Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Last Night in Soho,3.0,3.47,-0.47,09/11/2021,117,1:57,English,Edgar Wright,2021,"Horror,Thriller,Mystery",UK,123901,453029,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Rita Tushingham,Michael Ajao,Synnøve Karlsen,Pauline McLynn,Terence Stamp,Diana Rigg,Aimée Cassettari,Colin Mace,Jessie Mei Li,Kassius Nelson,Rebecca Harrod,Alan Mahon,Connor Calland,Josh Zaré,Jacqui-Lee Pryce,Elizabeth Berrington,James Phelps"
Marcel the Shell with Shoes On,3.5,4.23,-0.73,05/11/2022,90,1:30,English,Dean Fleischer Camp,2021,"Comedy,Family,Drama,Animation",USA,67481,158017,"Jenny Slate,Dean Fleischer Camp,Isabella Rossellini,Joe Gabler,Shari Finkelstein,Samuel Painter,Blake Hottle,Scott Osterman,Jeremy Evans,Lesley Stahl,Rosa Salazar,Thomas Mann,Sarah Thyre"
Procession,3.5,3.77,-0.27,11/06/2021,118,1:58,English,Robert Greene,2021,Documentary,USA,1064,3842,"Joe Eldred,Mike Foreman,Ed Gavagan,Dan Laurine,Monica Phinney,Michael Sandridge,Ryan Trobough,Terrick Trobough,Vanessa Trobough,Tom Viviano"
The Lost Daughter,4.0,3.52,0.48,11/05/2021,122,2:02,"English,Greek (modern),Italian",Maggie Gyllenhaal,2021,Drama,Greece,45624,179731,"Olivia Colman,Jessie Buckley,Dakota Johnson,Ed Harris,Paul Mescal,Peter Sarsgaard,Dagmara Domińczyk,Jack Farthing,Alba Rohrwacher,Oliver Jackson-Cohen,Panos Koronis,Robyn Elwell,Ellie Mae Blake,Alexandros Mylonas"
Julia,3.0,3.64,-0.64,09/12/2021,95,1:35,English,Julie Cohen,2021,Documentary,USA,760,2559,"Julia Child,José Andrés Puerta,Ruth Reichl,Cecile Richards,Marcus Samuelsson,Sara Moulton,Ina Garten,Charles Gibson,Jacques Pépin,Antonietta Brownell,André Cointreau,Susy Davidson,Jane Friedman,Daniéle Mazet-Delpeuch"
Cinderella,1.0,1.56,-0.56,09/06/2021,113,1:53,English,Kay Cannon,2021,"Comedy,Romance,Fantasy",USA,18703,50892,"Camila Cabello,Nicholas Galitzine,Idina Menzel,Billy Porter,Pierce Brosnan,Minnie Driver,Maddie Baillio,Charlotte Spencer,Tallulah Greive,James Acaster,Romesh Ranganathan,James Corden,Ben Bailey Smith,Rob Beckett,Luke Latchman"
Spencer,3.5,3.72,-0.22,09/04/2021,117,1:57,English,Pablo Larraín,2021,Drama,Chile,85985,281612,"Kristen Stewart,Jack Farthing,Sally Hawkins,Timothy Spall,Sean Harris,Thomas Douglas,Olga Hellsing,Matthias Wolkowski,Oriana Gordon,Ryan Wichert,John Keogh,Amy Manson,Elizabeth Berrington,Jack Nielen"
Encounter,2.0,3.05,-1.05,09/02/2021,108,1:48,English,Michael Pearce,2021,"Thriller,Drama,Mystery,Science Fiction",UK,2293,8449,"Riz Ahmed,Octavia Spencer,Lucian-River Mirage Chauhan,Rory Cochrane,Aditya Geddada,Janina Gavankar,Misha Collins,Keith Szarabajka,Shane McRae,Antonio Jaramillo,Brennan Keel Cook,Bill Dawes,Alisha Seaton,Peter Nikkos,Stefan Sims,Aarush Mehta,Melissa Bailey"
The Cathedral,3.5,3.23,0.27,01/14/2022,87,1:27,English,Ricky D’Ambrose,2021,Drama,USA,780,2281,"Brian d'Arcy James,Monica Barbaro,Hudson McGuire,Henry Glendon Walter V,Robert Levey II,William Bednar-Carter,Mark Zeisler,Geraldine Singer,Cynthia Mace,Madeline Hudelson,Siena Marino,Linnea Gregg,Candy Dato,Erich Rausch,Gorman Ruggiero,Melinda Tanner"
Cyrano,2.5,3.22,-0.72,12/16/2021,124,2:04,English,Joe Wright,2021,"Drama,Romance",Canada,12085,30770,"Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Ben Mendelsohn,Bashir Salahuddin,Monica Dolan,Joshua James,Anjana Vasan,Ruth Sheen,Glen Hansard,Sam Amidon,Scott Folan,Mark Benton,Richard McCabe"
Becoming Cousteau,3.0,3.55,-0.55,11/24/2021,94,1:34,"English,French",Liz Garbus,2021,Documentary,USA,717,2529,"Jacques-Yves Cousteau,Vincent Cassel,Carol Burnett,Louis Malle,Deborah Norville"
The Card Counter,4.0,3.31,0.69,09/08/2021,111,1:51,English,Paul Schrader,2021,"Thriller,Crime,Drama",UK,25612,92864,"Oscar Isaac,Tiffany Haddish,Tye Sheridan,Willem Dafoe,Alexander Babara,Bobby C. King,Ekaterina Baker,Dylan Flashner,Adrienne Lau,Joel Michaely,Rachel Michiko Whitney"
The Automat,,3.34,,09/07/2021,79,1:19,English,Lisa Hurwitz,2021,"Documentary,History",USA,987,2691,"Ruth Bader Ginsburg,Mel Brooks,Colin Powell,Carl Reiner,Elliott Gould,Wilson Goode,Howard Schultz"
The Power of the Dog,4.0,3.67,0.33,09/04/2021,128,2:08,English,Jane Campion,2021,"Drama,Western",Australia,85079,360984,"Benedict Cumberbatch,Kodi Smit-McPhee,Kirsten Dunst,Jesse Plemons,Thomasin McKenzie,Geneviève Lemon,Keith Carradine,Frances Conroy,Kenneth Radley,Sean Keenan,George Mason,Ramontay McConnell,David Denis,Cohen Holloway,Max Mata,Josh Owen,Alistair Sewell"
C'mon C'mon,4.0,4.09,-0.09,09/04/2021,109,1:49,English,Mike Mills,2021,Drama,USA,43399,134815,"Joaquin Phoenix,Woody Norman,Gaby Hoffmann,Scoot McNairy,Molly Webster,Jaboukie Young-White,Deborah Strang,Sunni Patterson,Jenny Eliscu,Mary Passeri,Brandon Rush,Brey'on Shaw"
The Electrical Life of Louis Wain,2.0,3.6,-1.6,09/04/2021,111,1:51,English,Will Sharpe,2021,"Drama,History,Comedy",UK,5755,20243,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Toby Jones,Sharon Rooney,Aimee Lou Wood,Hayley Squires,Stacy Martin,Phoebe Nicholls,Adeel Akhtar,Asim Chaudhry"
King Richard,3.5,3.67,-0.17,07/06/2021,145,2:25,English,Reinaldo Marcus Green,2021,"Drama,History",USA,41233,185538,"Will Smith,Aunjanue Ellis-Taylor,Saniyya Sidney,Demi Singleton,Jon Bernthal,Tony Goldwyn,Susie Abromeit,Dylan McDermott,Judith Chapman,Katrina Begin,Erin Cummings,Andy Bean,Kevin Dunn,Craig Tate,Calvin Clausell Jr.,Mikayla LaShae Bartholomew,Daniele Lawson,Layla Crawford,Erika Ringor,Noah Bean,Josiah Cross,Vaughn W. Hebron,Jimmy Walker Jr.,Brad Greenquist,Johnno Wilson,Robert Nuscher,Christopher Wallinger,Chase Del Rey,Connie Ventress,Vivienne Bersin,Andy Hoff,Carrie Gibson,Doug Simpson,Brandon Morales,Wil J. Jackson,Erica Shaffer"
The Hand of God,3.5,3.79,-0.29,09/03/2021,130,2:10,Italian,Paolo Sorrentino,2021,Drama,Italy,20599,99633,"Filippo Scotti,Toni Servillo,Teresa Saponangelo,Luisa Ranieri,Marlon Joubert,Massimiliano Gallo,Betti Pedrazzi,Renato Carpentieri,Enzo De Caro,Sofya Gershevich,Lino Musella,Biagio Manna,Ciro Capano"
Belfast,3.0,3.46,-0.46,09/03/2021,98,1:38,English,Kenneth Branagh,2021,Drama,UK,41876,155618,"Jude Hill,Caitríona Balfe,Jamie Dornan,Judi Dench,Ciarán Hinds,Colin Morgan,Lara McDonnell,Lewis McAskie,Gerard Horan,Josie Walker,Olive Tennant,Michael Maloney,Turlough Convery,Conor MacNeill,Chris McCurry,Elly Condron,Samuel Menhinick,Vanessa Ifediora"
The Rescue,4.0,4.04,-0.04,08/28/2021,107,1:47,"English,German,Thai",Elizabeth Chai Vasarhelyi,2021,"Documentary,Drama",Thailand,7038,30396,"Jim Warny,Thanet Natisri,John Volanthen,Derek Anderson,Rick Stanton,Mikko Paasi,Richard Harris,Josh Morris,Mitch Torrel,Craig Challen,Ruengrit Changkwanyuen,Josh Bratchley,Jason Mallinson,Connor Roe,Fiona Harris"
Three Minutes: A Lengthening,3.5,3.72,-0.22,12/19/2022,69,1:09,"English,German,Polish",Bianca Stigter,2021,"History,Documentary",Netherlands,510,1568,"Helena Bonham Carter,Glenn Kurtz,Moszek Tuchendler"
Parallel Mothers,4.0,3.55,0.45,10/08/2021,123,2:03,Spanish,Pedro Almodóvar,2021,Drama,Spain,22953,99498,"Penélope Cruz,Milena Smit,Israel Elejalde,Aitana Sánchez-Gijón,Rossy de Palma,Julieta Serrano,Arantxa Aranguren,Adelfa Calvo,José Javier Domínguez,Carmen Flores,Trinidad Iglesias,Inma Ochoa,Ana Peleteiro,Daniela Santiago,Chema Adeva,Luna Auria Contreras,Agustín Almodóvar"
Malignant,3.0,3.14,-0.14,09/10/2021,111,1:51,English,James Wan,2021,"Mystery,Thriller,Horror",Hong Kong,88673,258785,"Annabelle Wallis,Maddie Hasson,George Young,Michole Briana White,Susanna Thompson,Ingrid Bisu,Jean Louisa Kelly,Jake Abel,Jacqueline McKenzie,Christian Clemenson,Amir Aboulela,Mercedes Colon,Ruben Pla,Jon Lee Brody,Paula Marshall,Zoë Bell,Shaunte Lynette Johnson"
"Hallelujah: Leonard Cohen, A Journey, A Song",3.0,3.55,-0.55,08/28/2021,115,1:55,English,Dayna Goldfine,2021,Documentary,USA,828,2371,"Leonard Cohen,Larry Sloman,Adrienne Clarkson,Judy Collins,Clive Davis,John Lissauer,Nancy Bacal,Rabbi Mordecai Finley,Sharon Robinson,Glen Hansard,Bob Dylan"
The Found Footage Phenomenon,1.5,3.15,-1.65,06/12/2022,101,1:41,English,Phillip Escott,2021,Documentary,USA,791,2613,"André Øvredal,Patrick Brice,Ruggero Deodato,James Cullen Bressack,Eduardo Sánchez,Michael Goi,Derek Lee,Clif Prowse,Doron Paz,Aislinn Clarke,Dean Alioto,Alexandra Heller-Nicholas,Julian Richards,Stephen Volk"
Vacation Friends,,2.8,,08/29/2021,103,1:43,English,Clay Tarver,2021,Comedy,USA,4971,18990,"John Cena,Lil Rel Howery,Meredith Hagner,Yvonne Orji,Robert Wisdom,Lynn Whitfield,Andrew Bachelor,Tawny Newsome,Kamal Angelo Bolden,Carlos Santos,T. Love,Chuck Cooper,Sonny Charles,Cristian Gonzalez"
"Bob Ross: Happy Accidents, Betrayal & Greed",1.5,3.27,-1.77,08/29/2021,92,1:32,English,Joshua Rofé,2021,Documentary,Netherlands,2564,11009,"Bob Ross,Steve Ross,Vicky Ross,John Thamm,Ian Bourland,Julia Friedman,Dana Jester,Doug Blandy,Sally Schenck,Gary Jenkins,Kathwren Jenkins,Andrea Baxter,Bert Effing,Walt Kowalski,Annette Kowalski,Lawrence Kapp,William Alexander"
The Voyeurs,3.0,2.75,0.25,08/11/2021,117,1:57,"English,French,Japanese,Spanish",Michael Mohan,2021,Thriller,USA,17665,55184,"Sydney Sweeney,Justice Smith,Ben Hardy,Natasha Liu Bordizzo,Katharine King,Cameo Adele,Jean Yoon,Cait Alexander,Blessing Adedijo,Bianca Blizzard,Sandrine Bergeron"
Ghostbusters: Afterlife,2.0,3.2,-1.2,11/15/2021,124,2:04,English,Jason Reitman,2021,"Fantasy,Comedy,Adventure",Canada,42425,167544,"Carrie Coon,Finn Wolfhard,Mckenna Grace,Paul Rudd,Logan Kim,Celeste O'Connor,Bill Murray,Dan Aykroyd,Ernie Hudson,Annie Potts,Sigourney Weaver,Bokeem Woodbine,Tracy Letts,J.K. Simmons,Josh Gad"
Sweet Girl,2.0,2.37,-0.37,08/21/2021,110,1:50,English,Brian Andrew Mendoza,2021,"Drama,Thriller,Action",USA,3539,16508,"Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Amy Brenneman,Adria Arjona,Milena Rivero,Justin Bartha,Raza Jaffrey,Lex Scott Davis,Michael Raymond-James,Dominic Fumusa,Nelson Franklin,Reggie Lee,Will Blagrove"
Reminiscence,2.0,2.53,-0.53,,116,1:56,English,Lisa Joy,2021,"Science Fiction,Mystery",USA,13640,49860,"Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,Cliff Curtis,Marina de Tavira,Daniel Wu,Mojean Aria,Brett Cullen,Natalie Martinez,Angela Sarafyan,Javier Molina,Sam Medina,Norio Nishimura,Roxton Garcia,Giovannie Cruz,Woon Young Park"
Shang-Chi and the Legend of the Ten Rings,3.0,3.6,-0.6,08/18/2021,132,2:12,"English,Chinese",Destin Daniel Cretton,2021,"Fantasy,Adventure,Action",USA,121354,678696,"Simu Liu,Awkwafina,Zhang Meng'er,Fala Chen,Florian Munteanu,Benedict Wong,Yuen Wah,Michelle Yeoh,Ben Kingsley,Tony Leung Chiu-wai,Andy Le,Paul He,Jayden Tianyi Zhang,Elodie Fong,Arnold Sun"
Stanleyville,2.5,2.81,-0.31,04/19/2022,88,1:28,English,Maxwell McCabe-Lokos,2021,Comedy,Canada,160,419,"Susanne Wuest,Julian Richings,Cara Ricketts,Christian Serritiello,George Tchortov,Adam Brown,Mihály Szabados"
The Last Thing Mary Saw,,2.83,,01/26/2022,88,1:28,English,Edoardo Vitaletti,2021,"Thriller,Drama,Horror",USA,925,3154,"Stefanie Scott,Isabelle Fuhrman,Rory Culkin,Judith Roberts,Carolyn McCormick,Michael Laurence,Shane Coffey,Dawn McGee,Philip Hoffman,Matthew Stannah,Sebastian Beacon"
Hellbender,3.0,3.19,-0.19,02/23/2022,83,1:23,English,Toby Poser,2021,Horror,USA,4508,15894,"Zelda Adams,Toby Poser,Lulu Adams,John Adams,Rinzin Thonden,Khenzom,Shawn Wilson,Judy Rosen,Rob Figueroa,Tess McKeegan,John Adams Sr."
Don't Breathe 2,2.0,2.53,-0.53,11/09/2021,98,1:38,English,Rodo Sayagues,2021,"Horror,Thriller",USA,12852,59093,"Stephen Lang,Brendan Sexton III,Madelyn Grace,Stephanie Arcila,Rocci Williams,Bobby Schofield,Adam Young,Fiona O'Shaughnessy,Steffan Rhodri,Diaana Babnicova,Christian Zagia,Ron Rogell"
Respect,2.5,3.12,-0.62,06/08/2021,145,2:25,English,Liesl Tommy,2021,"History,Music,Drama",Canada,5335,19582,"Jennifer Hudson,Forest Whitaker,Marlon Wayans,Audra McDonald,Mary J. Blige,Marc Maron,Tituss Burgess,Saycon Sengbloh,Hailey Kilgore,Tate Donovan,Skye Dakota Turner,Heather Headley"
Untold: Malice at the Palace,,3.54,,07/25/2021,69,1:09,English,Floyd Russ,2021,"Documentary,Crime",USA,3007,12514,"Jermaine O'Neal,Stephen Jackson,Metta Sandiford-Artest,Reggie Miller,Donnie Walsh,Buddy Frantz,Timothy Smith,Charlie Haddad,Greg Super,Jim Stoinski,Jim Gray,Ben Wallace,Tim Donaghy,Rhonda Wilson,David Gorcyca,Brian Martin,David Stern,Stephen A. Smith,Kenny Smith"
Mad God,4.0,3.78,0.22,05/11/2022,84,1:24,No spoken language,Phil Tippett,2021,"Animation,Fantasy,Horror,Science Fiction",USA,24934,59401,"Alex Cox,Niketa Roman,Satish Ratakonda,Harper Taylor,Brynn Taylor,Hans Brekke,Brett Foxwell,Jake Freytag,Harper Gibbons,Tom Gibbons,Tucker Gibbons,Arne Hain,David Lauer,Chris Morley,Alexandre Poncet,Anthony Ruivivar,Talal Selhami"
She Will,2.0,2.93,-0.93,10/04/2022,95,1:35,English,Charlotte Colbert,2021,"Horror,Drama,Thriller",UK,1390,4981,"Alice Krige,Kota Eberhardt,Malcolm McDowell,Rupert Everett,Amy Manson,John McCrea,Olwen Fouéré,Daniel Lapaine,Jonathan Aris,Kenneth Collard,Joanna Bacon,Jack Greenlees"
Zeros and Ones,3.0,2.88,0.12,12/21/2021,85,1:25,"English,Russian,Italian",Abel Ferrara,2021,"Thriller,War",Germany,1854,5203,"Ethan Hawke,Cristina Chiriac,Phil Neilson,Valerio Mastandrea,Valeria Correale,Dounia Sichov,Babak Karimi,Korlan Rachmetova,Stephen Gurewitz,Mahmut Sifa Erkaya,Carla Cassola,Anna Ferrara,Salvatore Ruocco,Simone Gandolfo,Barbara Andres"
Beckett,2.5,2.76,-0.26,06/27/2021,109,1:49,"English,Greek (modern)",Ferdinando Cito Filomarino,2021,"Thriller,Mystery,Crime",Brazil,4754,20058,"John David Washington,Vicky Krieps,Panos Koronis,Boyd Holbrook,Alicia Vikander,Daphne Alexander,Leonardo Thimo,Lena Kitsopoulou,Isabella Margara,Marc Marder,Olga Spyraki,Abe Cohen,Andreas Marianos,Maria Votti,Makis Papadimitriou,Dimitra Mesimerli,Myrsini Morelli,Yorgos Pirpassopoulos"
